FolderName, FileName, dCH12, dCH23, dCH31, dFH12, dFH23, dFH31, CHY1x, CHY1y, CHY1z, CHY1i, CHY1j, CHY1k, CHY1d, CHY2x, CHY2y, CHY2z, CHY2i, CHY2j, CHY2k, CHY2d, CHY3x, CHY3y, CHY3z, CHY3i, CHY3j, CHY3k, CHY3d, FHY1x, FHY1y, FHY1z, FHY1i, FHY1j, FHY1k, FHY1d, FHY2x, FHY2y, FHY2z, FHY2i, FHY2j, FHY2k, FHY2d, FHY3x, FHY3y, FHY3z, FHY3i, FHY3j, FHY3k, FHY3d, HNY1x, HNY1y, HNY1z, HNY1i, HNY1j, HNY1k, HNY1d, HNY2x, HNY2y, HNY2z, HNY2i, HNY2j, HNY2k, HNY2d 
RB1_Frange, ST1_RB1_FRANGE_20161221_193855.xml,30.0771194004811,21.283042078182,21.3020436430341,14.0430629143222,19.8746579694896,14.0295505506994,-19.536735534668,-16.37691116333,-19.816589355469,-0.0024013998918235,-0.00074222299735993,0.99999684095383,5.6161308288574,-19.535184860229,13.700205802917,-19.804588317871,-0.0013096195179969,-0.0010918725747615,0.99999856948853,5.6571888923645,-34.609546661377,-1.3241112232208,-19.841928482056,0.003610523417592,-0.0037896183785051,0.9999862909317,5.5831718444824,5.5546083450317,-6.2118005752563,-19.402179718018,0.0031733771320432,-0.033954173326492,0.99941837787628,7.7370300292969,5.2678380012512,7.8192901611328,-18.898323059082,0.0034339339472353,-0.038787353783846,0.99924159049988,7.7147250175476,19.581813812256,-5.9581637382507,-19.440439224243,0.0041816174052656,-0.034985065460205,0.99937909841537,7.7594599723816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_193909.xml,30.0553100150429,21.2662724648736,21.2746147743473,14.0385894877813,19.8875630392367,14.0689579340231,-19.546802520752,-16.369031906128,-19.815475463867,-0.002254769904539,-0.00068410002859309,0.9999971985817,5.6041598320007,-19.525817871094,13.686268806458,-19.804574966431,-0.0013521693181247,-0.0011029834859073,0.99999845027924,5.6553230285645,-34.589553833008,-1.3249561786652,-19.841014862061,-0.00021594669669867,0.00064725475385785,0.99999976158142,5.6139979362488,5.5319986343384,-6.2122354507446,-19.401315689087,0.0029792070854455,-0.033922672271729,0.99942004680634,7.71275806427,5.2777018547058,7.8150315284729,-18.898216247559,0.0034582340158522,-0.03869554400444,0.99924504756927,7.7102370262146,19.598876953125,-5.9735493659973,-19.440567016602,0.0041835070587695,-0.034839268773794,0.99938416481018,7.78125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_193920.xml,30.0743924618595,21.2934673745812,21.3096150002207,14.0326400343802,19.8702239166429,14.0455445535527,-19.552251815796,-16.37212562561,-19.815700531006,-0.0023576200474054,-0.00077707401942462,0.99999690055847,5.6235718727112,-19.538770675659,13.702261924744,-19.805038452148,-0.001355079235509,-0.0012204614467919,0.99999833106995,5.6781210899353,-34.633159637451,-1.3167202472687,-19.841770172119,-0.00019506644457579,0.00068150460720062,0.99999976158142,5.6431188583374,5.5462555885315,-6.2028746604919,-19.401657104492,0.0032327470835298,-0.033787872642279,0.99942380189896,7.7120990753174,5.2745637893677,7.8180723190308,-18.897459030151,0.0033727339468896,-0.038862001150846,0.99923884868622,7.7126388549805,19.589513778687,-5.9520425796509,-19.437774658203,0.0041142967529595,-0.035015165805817,0.99937832355499,7.7721700668335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_193931.xml,30.0665692481291,21.2836788400476,21.2942800146608,14.0245889035015,19.8692194225569,14.0326676091992,-19.553104400635,-16.370365142822,-19.815343856812,-0.0023481498938054,-0.00073577702278271,0.99999696016312,5.6134347915649,-19.540166854858,13.696199417114,-19.804641723633,-0.001326059224084,-0.0011723644565791,0.99999845027924,5.6475110054016,-34.620449066162,-1.3230792284012,-19.841279983521,0.0027815233916044,-0.0034615823533386,0.99999016523361,5.5710959434509,5.5580024719238,-6.2023258209229,-19.400064468384,0.0032098169904202,-0.033893372863531,0.99942034482956,7.7329940795898,5.2716879844666,7.8103275299072,-18.897407531738,0.003319073934108,-0.038797613233328,0.99924153089523,7.7053480148315,19.58846282959,-5.9564137458801,-19.438400268555,0.0041816574521363,-0.035050567239523,0.99937683343887,7.7768201828003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194040.xml,30.065657383029,21.2780266053514,21.2916691794414,14.0439112051856,19.8842489356362,14.0386232818665,-19.540870666504,-16.370283126831,-19.816432952881,-0.0023170299828053,-0.00075153302168474,0.99999701976776,5.5995898246765,-19.531154632568,13.695370674133,-19.805433273315,-0.0013626895379275,-0.0011317285243422,0.99999845027924,5.6366181373596,-34.604446411133,-1.3229172229767,-19.841762542725,0.002968923188746,-0.0038604103028774,0.99998813867569,5.5949749946594,5.547351360321,-6.2142634391785,-19.401918411255,0.0030521471053362,-0.033950075507164,0.99941891431808,7.726891040802,5.2638401985168,7.8177585601807,-18.898508071899,0.0033927038311958,-0.038812961429358,0.99924069643021,7.7109117507935,19.583751678467,-5.9673833847046,-19.440128326416,0.0041359369643033,-0.034844368696213,0.99938422441483,7.7758798599243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194051.xml,30.0776289587227,21.2711796783905,21.2971402609694,14.0369257451739,19.8631907691739,14.0251881007092,-19.55012512207,-16.376321792603,-19.81590461731,-0.0021921501029283,-0.00060258398298174,0.99999743700027,5.6220769882202,-19.54024887085,13.701303482056,-19.804765701294,-0.0013004892971367,-0.0012683385284618,0.99999833106995,5.6640191078186,-34.606666564941,-1.3141812086105,-19.841674804688,0.0031644236296415,-0.0040918621234596,0.99998664855957,5.5998368263245,5.5436697006226,-6.2066187858582,-19.400838851929,0.0030546369962394,-0.033940773457289,0.99941921234131,7.7314791679382,5.2708730697632,7.8186054229736,-18.896902084351,0.0032806037925184,-0.038696780800819,0.99924558401108,7.7132048606873,19.566656112671,-5.9611735343933,-19.439697265625,0.0042179669253528,-0.035009767860174,0.99937808513641,7.743200302124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194106.xml,30.0654735589394,21.2675936317123,21.2907645860346,14.0344747417093,19.8623224064477,14.0336443166483,-19.552648544312,-16.371217727661,-19.816923141479,-0.0022969800047576,-0.00076597597217187,0.99999707937241,5.5811371803284,-19.538297653198,13.694250106812,-19.805164337158,-0.001213739393279,-0.0010598835069686,0.99999868869781,5.6595859527588,-34.605979919434,-1.3148832321167,-19.842666625977,-0.00027092639356852,0.00057804444804788,0.99999982118607,5.6181087493896,5.5423736572266,-6.2108163833618,-19.401062011719,0.0033908071927726,-0.033938273787498,0.99941819906235,7.7236161231995,5.2684378623962,7.8120231628418,-18.899652481079,0.0031259940005839,-0.038758482784033,0.99924367666245,7.7157402038574,19.573661804199,-5.9567646980286,-19.440855026245,0.0043253568001091,-0.034916169941425,0.99938088655472,7.7479701042175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194119.xml,30.0609492352255,21.2783289733486,21.2943394272725,14.0280955522245,19.8728317364596,14.0471654230101,-19.554845809937,-16.366739273071,-19.816028594971,-0.0024142300244421,-0.00058350001927465,0.99999690055847,5.6130199432373,-19.553079605103,13.694208145142,-19.805727005005,-0.0012929092627019,-0.0011301534250379,0.99999850988388,5.6564497947693,-34.626846313477,-1.3240323066711,-19.841711044312,-0.00016949698328972,0.00074392464011908,0.99999970197678,5.6510438919067,5.5429434776306,-6.1997184753418,-19.400756835938,0.0031004869379103,-0.03394927456975,0.9994187951088,7.7496819496155,5.2718558311462,7.8167414665222,-18.897937774658,0.0033744238317013,-0.038749951869249,0.99924319982529,7.7141609191895,19.587942123413,-5.9559373855591,-19.438707351685,0.0041532968170941,-0.035009369254112,0.99937838315964,7.7687101364136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194130.xml,30.0694646643599,21.2712517712952,21.2913662560005,14.0279883462378,19.8913969123754,14.0515881422104,-19.550312042236,-16.367721557617,-19.816911697388,-0.0022885398939252,-0.00073949102079496,0.99999707937241,5.6202178001404,-19.540216445923,13.701739311218,-19.805671691895,-0.001315989298746,-0.0011531205382198,0.99999845027924,5.661810874939,-34.606796264648,-1.3136872053146,-19.841602325439,0.003474023193121,-0.0043847705237567,0.99998432397842,5.6084141731262,5.5474014282227,-6.1975793838501,-19.401477813721,0.0031378669664264,-0.033913873136044,0.9994198679924,7.7464780807495,5.2613091468811,7.8184514045715,-18.898000717163,0.0035177539102733,-0.038657192140818,0.99924629926682,7.6998791694641,19.59694480896,-5.960711479187,-19.438270568848,0.0041398373432457,-0.034818068146706,0.9993851184845,7.7752799987793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194142.xml,30.0637518858987,21.271505669198,21.2897510739101,14.0400822539466,19.8689985610984,14.039366255694,-19.550968170166,-16.368188858032,-19.816625595093,-0.0024486999027431,-0.00069701601751149,0.99999678134918,5.6221671104431,-19.531307220459,13.695554733276,-19.806034088135,-0.0012503892648965,-0.001091024489142,0.99999862909317,5.6372079849243,-34.604553222656,-1.3135402202606,-19.841770172119,0.0031304229050875,-0.0034857783466578,0.99998903274536,5.6034631729126,5.5377292633057,-6.2129487991333,-19.401609420776,0.0029732771217823,-0.034037373960018,0.99941617250443,7.7165040969849,5.271785736084,7.8155641555786,-18.897617340088,0.0033143041655421,-0.038764223456383,0.99924284219742,7.7123317718506,19.574857711792,-5.9650826454163,-19.438920974731,0.0041857375763357,-0.034960567951202,0.9993799328804,7.7695798873901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194157.xml,30.0750599880634,21.2740389903039,21.2978503869498,14.0352282795558,19.8790399057649,14.0429529221162,-19.548959732056,-16.379745483398,-19.817180633545,-0.0024449098855257,-0.00069959199754521,0.99999678134918,5.6280741691589,-19.535766601563,13.695309638977,-19.806289672852,-0.0012869595084339,-0.0011491765035316,0.99999850988388,5.6453108787537,-34.607646942139,-1.3187452554703,-19.842533111572,0.003160523250699,-0.004626736510545,0.99998432397842,5.6043081283569,5.5388264656067,-6.2031955718994,-19.402172088623,0.0029615070670843,-0.033831272274256,0.99942320585251,7.7194709777832,5.2676701545715,7.8203821182251,-18.898807525635,0.003470083931461,-0.03881723433733,0.99924027919769,7.7105660438538,19.579719543457,-5.9654774665833,-19.438756942749,0.0041858176700771,-0.034851267933846,0.99938374757767,7.7729997634888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194208.xml,30.0637425518823,21.3051870864938,21.3048659568412,14.0315000004353,19.8678175082222,14.0247188705022,-19.55394744873,-16.360794067383,-19.816818237305,-0.0022891100961715,-0.00065197300864384,0.99999713897705,5.5816030502319,-19.528898239136,13.702936172485,-19.806196212769,-0.0012125393841416,-0.0012063784524798,0.99999850988388,5.6811141967773,-34.639301300049,-1.3165662288666,-19.841745376587,-7.9366378486156E-05,0.00059433467686176,0.99999982118607,5.6540832519531,5.5525374412537,-6.2071046829224,-19.401203155518,0.003096756990999,-0.03385217487812,0.99942207336426,7.735659122467,5.2706928253174,7.8125505447388,-18.898387908936,0.0033012242056429,-0.038853701204062,0.99923944473267,7.7079620361328,19.57511138916,-5.9649705886841,-19.440322875977,0.0041321967728436,-0.034929469227791,0.99938124418259,7.7456798553467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
RB1_Frange, ST1_RB1_FRANGE_20161221_194219.xml,30.0622311020322,21.2725646353435,21.2821186599725,14.0324669333019,19.9047425583684,14.0587721348512,-19.554414749146,-16.368146896362,-19.816856384277,-0.0022537598852068,-0.00071334402309731,0.9999971985817,5.6081900596619,-19.543685913086,13.694080352783,-19.806060791016,-0.001236459473148,-0.0011854735203087,0.99999850988388,5.6479377746582,-34.608589172363,-1.3248852491379,-19.843050003052,-4.7416426241398E-05,0.00068690441548824,0.99999976158142,5.6024951934814,5.5555205345154,-6.2029085159302,-19.401681900024,0.0030700371135026,-0.033937472850084,0.99941927194595,7.7386860847473,5.2624411582947,7.8174333572388,-18.897453308105,0.0033396440558136,-0.038620632141829,0.99924832582474,7.7175149917603,19.61224937439,-5.9661884307861,-19.439256668091,0.0042401268146932,-0.034946966916323,0.99938017129898,7.8017997741699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
